Helix.A-Helix,Helix.3-Helix,Helix.5-Helix,Helix.PPII-Helix,Sheet.B-Sheet,Sheet.B-Bridge,Turn.Turn,Turn.Bend,Coil
0,0,0,0,104,7,2,27,70
0,0,0,0,113,5,1,24,67
0,0,0,0,100,11,1,22,76
0,0,0,2,100,9,2,26,71
0,0,0,0,116,3,2,23,66
0,0,0,0,114,8,1,21,66
0,0,0,0,110,9,2,20,69
0,0,0,0,117,9,3,19,62
0,0,0,0,115,9,1,22,63
0,0,0,0,111,9,1,22,67
0,0,0,2,109,10,0,26,63
0,0,0,0,112,9,1,21,67
0,0,0,0,110,10,0,25,65
0,0,0,0,100,9,1,25,75
0,0,0,0,105,10,0,23,72
0,0,0,0,108,12,1,23,66
0,0,0,0,109,9,0,24,68
0,0,0,0,109,6,0,25,70
0,0,0,0,118,6,0,26,60
0,0,0,0,103,10,1,23,73
0,0,0,0,104,11,0,23,72
0,0,0,0,111,5,2,24,68
0,0,0,0,120,7,0,25,58
0,0,0,0,107,4,0,25,74
0,0,0,0,108,6,0,28,68
0,0,0,0,109,6,1,26,68
0,0,0,0,127,3,0,26,54
0,0,0,0,114,8,3,20,65
0,0,0,2,111,8,4,21,64
0,0,0,0,110,12,2,23,63
0,0,0,0,112,9,1,23,65
0,0,0,1,110,10,2,23,64
0,0,0,0,101,13,3,22,71
0,0,0,3,111,8,0,27,61
0,0,0,2,111,10,1,23,63
0,0,0,2,108,5,2,26,67
0,0,0,0,105,10,0,25,70
0,0,0,0,111,12,2,23,62
0,0,0,0,111,6,0,27,66
0,0,0,0,106,11,2,22,69
0,0,0,2,87,16,2,24,79
0,0,0,0,103,10,2,23,72
0,0,0,0,107,10,1,23,69
0,0,0,0,116,10,2,22,60
0,0,0,0,111,8,0,25,66
0,0,0,2,104,9,0,27,68
0,0,0,0,103,7,0,23,77
0,0,0,0,98,11,1,25,75
0,0,0,4,111,4,4,26,61
0,0,0,2,97,12,2,22,75
0,0,0,0,109,7,2,23,69
0,0,0,0,100,9,4,25,72
0,0,0,0,107,10,0,24,69
0,0,0,0,119,7,2,25,57
0,0,0,0,105,8,2,23,72
0,0,0,0,105,11,2,25,67
0,0,0,2,103,12,2,26,65
0,0,0,0,111,7,2,25,65
0,0,0,0,104,9,4,24,69
0,0,0,0,101,13,0,25,71
0,0,0,3,109,6,1,26,65
0,0,0,0,107,10,2,24,67
0,0,0,0,104,8,4,25,69
0,0,0,0,106,9,4,21,70
0,0,0,0,109,7,0,27,67
0,0,0,0,111,5,2,26,66
0,0,0,0,113,11,1,21,64
0,0,0,2,109,8,2,24,65
0,0,0,0,125,8,1,22,54
0,0,0,0,113,10,1,21,65
0,0,0,0,103,13,2,23,69
0,0,0,0,112,11,1,21,65
0,0,0,2,109,10,1,21,67
0,0,0,0,98,16,1,24,71
0,0,0,0,120,10,1,22,57
0,0,0,0,111,12,1,23,63
0,0,0,0,105,11,0,25,69
0,0,0,0,113,11,1,21,64
0,0,0,0,115,10,1,22,62
0,0,0,0,109,11,2,25,63
0,0,0,0,110,9,2,22,67
0,0,0,0,111,11,1,25,62
0,0,0,0,113,11,1,23,62
0,0,0,2,110,7,4,23,64
0,0,0,2,111,9,1,22,65
0,0,0,0,114,12,1,21,62
0,0,0,0,112,14,1,20,63
0,0,0,2,114,9,2,23,60
0,0,0,0,110,9,1,22,68
0,0,0,0,103,9,0,27,71
0,0,0,2,111,12,1,24,60
0,0,0,0,110,7,2,28,63
0,0,0,0,108,9,3,22,68
0,0,0,0,110,9,0,29,62
0,0,0,0,117,7,1,21,64
0,0,0,0,114,8,3,19,66
0,0,0,0,115,8,1,22,64
0,0,0,0,115,8,1,24,62
0,0,0,0,115,10,2,20,63
0,0,0,0,112,11,2,22,63
0,0,0,2,113,8,3,22,62
0,0,0,0,116,11,1,21,61
0,0,0,0,108,9,0,28,65
0,0,0,0,111,7,0,26,66
0,0,0,0,105,12,1,28,64
0,0,0,0,112,9,1,22,66
0,0,0,0,110,10,1,23,66
0,0,0,0,108,10,1,23,68
0,0,0,0,100,13,1,27,69
0,0,0,0,113,6,2,23,66
0,0,0,0,110,12,1,18,69
0,0,0,0,108,10,0,24,68
0,0,0,0,108,13,3,19,67
0,0,0,0,117,5,2,21,65
0,0,0,0,113,7,1,24,65
0,0,0,2,116,10,1,24,57
0,0,0,0,92,15,0,27,76
0,0,0,0,106,11,0,23,70
0,0,0,0,108,9,0,24,69
0,0,0,2,102,12,1,23,70
0,0,0,0,101,12,0,25,72
0,0,0,0,99,11,1,21,78
0,0,0,0,91,12,0,26,81
0,0,0,0,104,7,2,23,74
0,0,0,0,111,9,1,22,67
0,0,0,0,106,9,0,22,73
0,0,0,0,119,3,2,22,64
0,0,0,2,103,9,2,26,68
0,0,0,0,94,13,2,22,79
0,0,0,0,114,5,1,24,66
0,0,0,0,109,10,0,23,68
0,0,0,0,108,12,1,20,69
